星球大战前传1：幽灵的威胁 Star Wars: Episode I - The Phantom Menace (1999)
星球大战前传2：克隆人的进攻 Star Wars: Episode II - Attack of the Clones (2002)
星球大战前传3：西斯的反击 Star Wars: Episode III - Revenge of the Sith (2005)
星球大战7：原力觉醒 Star Wars: The Force Awakens (2015)
星球大战8：最后的绝地武士 Star Wars: The Last Jedi (2017)
星球大战9：天行者崛起 Star Wars: The Rise of Skywalker (2019)
星球大战外传：侠盗一号 Rogue One: A Star Wars Story (2016)
游侠索罗：星球大战外传 Solo: A Star Wars Story (2018)
星际迷航 Star Trek (2009)
星际迷航2：暗黑无界 Star Trek Into Darkness (2013)
星际迷航3：超越星辰 Star Trek Beyond (2016)
星河战队 Starship Troopers (1997)
星河战队2：联邦英雄 Starship Troopers 2: Hero of the Federation (2004)
星河战队3：掠夺者 Starship Troopers 3: Marauder (2008)
星际传奇 Pitch Black (2000)
星际传奇2 The Chronicles of Riddick (2004)
异星战场 John Carter (2012)
星际之门 Stargate (1994)
星际传奇3 Riddick (2013)
第五元素 The Fifth Element (1997)
星际穿越 Interstellar (2014)
明日边缘 Edge of Tomorrow (2014)
太空运输 Cargo (2009)
火星救援 The Martian (2015)
火星任务 Mission to Mars (2000)
地心引力 Gravity (2013)
蝴蝶效应 The Butterfly Effect (2004)
太空一号 Lockout (2012)
彗星来的那一夜 Coherence (2013)
第三类接触 Close Encounters of the Third Kind (1977)
第六感 The Sixth Sense (1999)
时间机器 The Time Machine (2002)
超时空接触 Contact (1997)
独立日 Independence Day (1996)
独立日2：卷土重来 Independence Day: Resurgence (2016)
星际传奇 Pitch Black (2000)
星际传奇2 The Chronicles of Riddick (2004)
月球 Moon (2009)
冲出宁静号 Serenity (2005)
迷失太空 Lost in Space (1998)
红色星球 Red Planet (2000)
极乐空间 Elysium (2013)
重返地球 After Earth (2013)
木星上行 Jupiter Ascending (2015)
机械危情 The Machine (2013)
超能查派 Chappie (2015)
明日世界 Tomorrowland (2015)
超验骇客 Transcendence (2014)
欧罗巴报告 Europa Report (2013)
流浪地球 (2019)
流浪地球2 (2023)
诸神之怒 Wrath of the Titans (2012)
惊天战神 Immortals (2011)
登月第一人 First Man (2018)
遗落战境 Oblivion (2013)
